case_id	sample_id	feature_name	expected_in_reference	feature_class	feature_type	clinical_modality	source_file	supplied	raw_value	imputed	imputation_value	value_used	scaled_value	status	notes
example_cup_case	SYNTHETIC-CUP-001	nonsynonymous_count	True	mutation_count_proxy	count	WES	wes_features.tsv	True	185	False	61.0	185.0	-0.0415182603966911	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	total_mutation_count	True	mutation_count_proxy	count	WES	wes_features.tsv	True	270	False	95.0	270.0	-0.056883258558827046	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_TP53	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	1	False	0.0	1.0	1.2835682162195639	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_KRAS	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	1	False	0.0	1.0	3.4562163520360265	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_BRAF	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.2855362646659009	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_IDH1	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.23963968668403182	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_IDH2	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.09434615369185666	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_PIK3CA	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.39354004729057107	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_APC	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	1	False	0.0	1.0	3.366741092875583	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_PTEN	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.3049644594820815	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_NF1	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.2569953478976793	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_BAP1	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.15588338101527918	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_VHL	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.14356289615557458	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_RB1	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.21532238530467213	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_CDKN2A	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.20228288940723282	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_SMAD4	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	1	False	0.0	1.0	6.007873621718875	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_ARID1A	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.2950645456573982	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_TERT	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.10771508100135707	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_EGFR	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.19964290240612534	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_ERBB2	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.1651999917095209	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_ALK	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.1811173178879334	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_MET	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.15687025344606104	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_MYC	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.09166531865718641	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_CTNNB1	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.20799129896680524	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_POLE	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.18821338776544388	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_MSH2	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.12091751878744272	supplied	Exact reference feature name used
example_cup_case	SYNTHETIC-CUP-001	driver_mutation_MSH6	True	driver_mutation_binary	binary	WES	wes_features.tsv	True	0	False	0.0	0.0	-0.13996501311953366	supplied	Exact reference feature name used
