project_id	project_code	n_samples	median_proliferation_score	median_immune_inflammatory_score	median_interferon_gamma_score	median_cytotoxic_t_cell_score	median_stromal_score	median_epithelial_score	median_EMT_score	median_hypoxia_score	median_cell_cycle_score	median_DNA_repair_score	median_angiogenesis_score	median_lineage_or_tissue_PC1	median_lineage_or_tissue_PC2	missingness_proliferation_score	missingness_immune_inflammatory_score	missingness_interferon_gamma_score	missingness_cytotoxic_t_cell_score	missingness_stromal_score	missingness_epithelial_score	missingness_EMT_score	missingness_hypoxia_score	missingness_cell_cycle_score	missingness_DNA_repair_score	missingness_angiogenesis_score	missingness_lineage_or_tissue_PC1	missingness_lineage_or_tissue_PC2
TCGA-ACC	ACC	79	-0.561763040866082	-0.325953619806187	-0.512914357575956	-0.307471499927584	-0.397586815128602	-0.843751612654887	0.0996485269024966	-0.110557304527461	-0.616931626251771	-0.350635748425304	-0.0279924397579397	2.69436168168777	0.715596590912443	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BLCA	BLCA	406	0.328305534428598	-0.240606847571464	-0.270733081478112	-0.227773413639257	-0.212173055787927	0.553959283166064	-0.248020045938478	-0.110582162488951	0.393816170080692	0.138603785799026	-0.257598070064275	-1.78910402055221	1.69728671665246	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BRCA	BRCA	931	-0.183840033587076	-0.198243766761861	-0.197521813381929	-0.238528074943562	0.289300744845437	0.145167484809105	-0.112487990147326	-0.425263908119894	-0.197742451158253	-0.0509670670997959	-0.144439071038066	0.688617810171113	0.517777875316479	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CESC	CESC	288	1.33650397999773	-0.044046085770732	0.13957355669605	-0.000772288942994333	-0.375144711731889	0.0872086672195835	-0.339702706655399	0.223761997413661	1.23560003079649	0.600633395420037	-0.392067125974215	-5.01335536997508	1.35124100640409	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CHOL	CHOL	36	-0.519147615138382	-0.240592637908451	-0.197004849005536	-0.226816937508778	-0.220004067561394	0.657659188004092	-0.144536510970547	-0.171415991709808	-0.536225887978251	-0.303923647764914	-0.218346706408118	1.66454962379835	1.11126537761809	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-COAD	COAD	403	0.54037375236594	-0.190997747699753	-0.269632878522681	-0.177772540434429	-0.246312539110789	1.12488743086551	-0.387252365232581	-0.0231457445514468	0.531493385653604	0.2812333216118	-0.369315394383227	-2.22731010059217	2.54804437541146	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DLBC	DLBC	37	1.78839362899844	1.77397487795647	1.38353308201421	1.87657730929169	-0.336359695473646	-0.860534851365663	-0.275512985625056	-0.00378373578766563	1.67125839960067	1.38690487230165	-0.366435892292712	-8.42545071652619	-6.11148621449295	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-ESCA	ESCA	184	0.685502149260718	-0.215142545886055	-0.162238940359596	-0.225742264076186	-0.206659908717456	0.0204753855127182	-0.220665694863461	-0.0723530022057427	0.652892648908731	0.80992910961078	-0.274529575658401	-2.55215243543513	1.50065685162974	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-GBM	GBM	160	-0.203870743632438	-0.264300421005049	-0.266195996723098	-0.276610567819816	-0.339192998250273	-0.865218903342043	0.237334195817087	-0.0529509779219834	-0.208598153122095	-0.335395197228615	0.0588927748286293	1.6031397563722	0.131172967849674	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-HNSC	HNSC	501	0.449291907514976	-0.0700815237494783	0.110124166328939	-0.0745818521939742	-0.13380448832649	-0.397573629697823	-0.0108881063381609	0.631482701664696	0.50789455926305	0.160189361965273	-0.32412114084804	-2.61159301465851	0.00377271625244588	0	0	0	0	0	0	0	0	0	0	0	0	0
