project_code	BLCA	BRCA	CESC	CHOL	COAD	ESCA	HNSC	KICH	KIRC	KIRP	LIHC	LUAD	LUSC	OV	PAAD	PRAD	READ	STAD	THCA	UCEC
BLCA	0	0.223994449827582	0.231216696516233	0.302068110983656	0.210864724454232	0.16424319811047	0.234475006811203	0.332298177000216	0.42610437679338	0.293819891036217	0.257197859442922	0.204511909175148	0.177822860207157	0.196540050807767	0.340412709677707	0.332308777661077	0.182931948433723	0.153948552714599	0.377055330650218	0.390245342599438
BRCA	0.223994449827582	0	0.194520757743341	0.178831725903656	0.252588531394019	0.174113075996373	0.162099819480712	0.179121393028389	0.243635913356086	0.17688824767492	0.139492007340383	0.230274904360675	0.230396729606391	0.133174245675249	0.178230381845938	0.158805339668399	0.211861736131789	0.191527219082404	0.195784053584703	0.444934764780736
CESC	0.231216696516233	0.194520757743341	0	0.283767994884955	0.239953227838481	0.187034968022322	0.15374910387357	0.310867306801056	0.302599333431497	0.245011152199235	0.217271135160632	0.239331886618905	0.200318806945376	0.183295311897216	0.315261295098873	0.280044488535286	0.223385928463158	0.163216294566496	0.317603539804952	0.429007162835202
CHOL	0.302068110983656	0.178831725903656	0.283767994884955	0	0.343680650797931	0.249380919967309	0.272762909323442	0.19855809861801	0.266432606336011	0.195592683915514	0.170490082667598	0.32863347525401	0.348505211595671	0.228663922954853	0.223430699078183	0.183775068385405	0.299801929203503	0.285506385161732	0.202690572600543	0.482185139467994
COAD	0.210864724454232	0.252588531394019	0.239953227838481	0.343680650797931	0	0.220583164985026	0.256531119991222	0.378261138546402	0.456055421445174	0.322216920520186	0.297174181979018	0.26494232486614	0.26181263380296	0.256919239812915	0.340939565313241	0.366165536645658	0.10468364475124	0.157195880027884	0.403673114234776	0.354206547473409
ESCA	0.16424319811047	0.174113075996373	0.187034968022322	0.249380919967309	0.220583164985026	0	0.154080528537608	0.254226968198399	0.346805787154079	0.241991540137137	0.204794335860778	0.209567310183215	0.151390351787216	0.139083968166582	0.257252900308502	0.26241727946107	0.15597496848692	0.167592079424843	0.304575670207588	0.467992487014197
HNSC	0.234475006811203	0.162099819480712	0.15374910387357	0.272762909323442	0.256531119991222	0.154080528537608	0	0.287086763849974	0.267162247966774	0.258161663190033	0.211948190645443	0.206166003629981	0.144716676978705	0.161748068201209	0.224790637078745	0.268633422574745	0.218504764853536	0.153206250767236	0.299689853915593	0.487814964192738
KICH	0.332298177000216	0.179121393028389	0.310867306801056	0.19855809861801	0.378261138546402	0.254226968198399	0.287086763849974	0	0.266628306684915	0.164808444146129	0.162988292479006	0.318504866827366	0.334860700873307	0.189638470709635	0.234237847838081	0.116666668448162	0.305936512660031	0.331254063800085	0.145143328866304	0.546770402995933
KIRC	0.42610437679338	0.243635913356086	0.302599333431497	0.266432606336011	0.456055421445174	0.346805787154079	0.267162247966774	0.266628306684915	0	0.233521179643588	0.238963130555733	0.347569603927408	0.377478651416357	0.297756971018969	0.255144030491732	0.202214009157936	0.40708312612463	0.350331932347278	0.216004060956771	0.584418553301562
KIRP	0.293819891036217	0.17688824767492	0.245011152199235	0.195592683915514	0.322216920520186	0.241991540137137	0.258161663190033	0.164808444146129	0.233521179643588	0	0.127747195102657	0.296636265415277	0.327375257180142	0.19122517901673	0.224463969916479	0.134168630343466	0.276638971096644	0.286215033288519	0.165503602767248	0.452335619573171
